layout_a,layout_b,ordered_path_distance_m,root_separation_m,same_remesh,same_root,surface_id,tangent_disagreement_rad,tree_edge_jaccard
R05_M01,R02_M02,0.09112233824501523,0.15264625982165378,False,False,saddle,1.5769609066720967,
R05_M01,R03_M02,0.15384151843881735,0.3252271122867038,False,False,saddle,1.5540338253249621,
R05_M01,R04_M02,0.1484842921058156,0.15284522245337578,False,False,saddle,1.6225934835608804,
R05_M01,R05_M02,0.01918767948726076,0.0,False,True,saddle,1.1026199256479807,
R05_M01,R06_M02,0.17079469696760163,0.20265229359919146,False,False,saddle,1.637370612182836,
R05_M01,R07_M02,0.12586398353435274,0.10694380958639621,False,False,saddle,1.5461507167663828,
R05_M01,R00_M03,0.15880235042558932,0.17415469627179855,False,False,saddle,1.6299789909736309,
R05_M01,R01_M03,0.12280578602823904,0.19344491910068237,False,False,saddle,1.663775017688274,
R05_M01,R02_M03,0.08304227491123933,0.15264625982165378,False,False,saddle,1.4423909443386844,
R05_M01,R03_M03,0.15400603389420822,0.3252271122867038,False,False,saddle,1.6297344107514173,
R05_M01,R04_M03,0.15143801065903686,0.15284522245337578,False,False,saddle,1.6235285169185032,
R05_M01,R05_M03,0.04148766816271941,0.0,False,True,saddle,1.356685151766943,
R05_M01,R06_M03,0.1684292925160411,0.20265229359919146,False,False,saddle,1.6410131514664126,
R05_M01,R07_M03,0.12058446680002807,0.10694380958639621,False,False,saddle,1.5549723476279753,
R06_M01,R07_M01,0.14538225746226002,0.22048915459038554,True,False,saddle,1.5695733379444354,0.49473684210526314
R06_M01,R00_M02,0.16002451357035624,0.1145700316369551,False,False,saddle,1.4885468497201952,
R06_M01,R01_M02,0.10191648322513548,0.2879103679884758,False,False,saddle,1.5984124645367686,
R06_M01,R02_M02,0.12967963553491663,0.35525116619951475,False,False,saddle,1.607482631559959,
R06_M01,R03_M02,0.12657344630420814,0.12467479149085656,False,False,saddle,1.3761825894344202,
R06_M01,R04_M02,0.12631519281878842,0.1128691989799744,False,False,saddle,1.6102902874297542,
R06_M01,R05_M02,0.09225885186339672,0.20265229359919146,False,False,saddle,1.507881346832572,
R06_M01,R06_M02,0.15763660338203117,0.0,False,True,saddle,1.6383348859755187,
